sample_id,mass_avg,mass_min,mass_max,mass_var,atomic_number_mean,atomic_number_min,atomic_number_max,atomic_number_var,light_element_fraction,heavy_element_fraction,en_atom_mean,en_atom_std,en_diff_mean,en_diff_max,en_diff_var,is_ionic_like,group_mean,group_std,valence_proxy_mean,valence_proxy_max,valence_proxy_var,gap_pbe,alphax_el,alphay_el,alphaz_el,alpha_el_mean_diag,layergroup,pointgroup,has_inversion_symmetry,is_janus_like,has_out_of_plane_dipole
2As-1,74.922,74.922,74.922,0,33,33,33,0,0,0,2.18,0,,,,,15,0,5,5,0,1.48319754270698,4.331303158249069,4.331303158249073,0.2997448684623604,2.987450394986834,p-3m1,-3m,1,,1
2P-1,30.974,30.974,30.974,0,15,15,15,0,1,0,2.19,0,,,,,15,0,5,5,0,1.9290582540934849,3.643699167166731,3.643699167166727,0.2795348758417457,2.5223110700584015,p-3m1,-3m,1,,0
2Sb-1,121.76,121.76,121.76,0,51,51,51,0,0,1,2.05,0,,,,,15,0,5,5,0,0.9829007803851126,5.222168459058633,5.171045519548613,0.34029173296957205,3.577835237192273,p-3m1,-3m,1,,1
4As-1,74.922,74.922,74.922,0,33,33,33,0,0,0,2.18,0,,,,,15,0,5,5,0,0.8347269690251125,7.485701580812636,6.3574448746792225,0.3779044498909198,4.740350301794259,pman,mmm,1,0,0
4P-1,30.974,30.974,30.974,0,15,15,15,0,1,0,2.19,0,,,,,15,0,5,5,0,0.9025676593547001,6.054694677702112,4.532506768262309,0.3428327251574026,3.6433447237072745,pman,mmm,1,0,1
1Mo2Ta2O11-1,48.65260000000001,15.999,180.95,3413.8750473066657,21.2,8,73,543.2266666666666,0.7333333333333333,0.26666666666666666,3.0106666666666664,0.7320789271352888,1.2933333333333332,1.94,0.2731555555555555,1,13.2,4.650448007092078,5.866666666666666,6,0.11555555555555556,2.5657066643955173,2.0772683527537756,2.0756500548051937,0.4938927923089802,1.5489370666226498,p-3m1,-3m,1,0,1
1Br2Hf2S3-1,87.56685714285712,32.06,178.49,3699.2154489795917,37.42857142857143,16,72,539.9591836734695,0.42857142857142855,0.2857142857142857,2.322857142857143,0.6657694642981433,1.1066666666666667,1.66,0.2880888888888889,0,12.857142857142858,5.617029500382142,5.714285714285714,7,1.3469387755102038,1.3784065961220147,2.925449444644979,3.606437373206715,0.5215203839964473,2.3511357339493806,c211,2,0,0,1
1Br2Se2Pb3-1,134.19285714285712,78.971,207.2,3997.656536693877,54.857142857142854,34,82,552.6938775510204,0,0.42857142857142855,2.5728571428571425,0.2612450565883242,0.41999999999999993,0.6299999999999999,0.028066666666666684,0,15.428571428571429,1.2936264483053452,5.428571428571429,7,1.6734693877551021,0.8964090315994947,5.552617684504631,4.925639221117427,0.6680479746271077,3.715434960083055,cm11,m,0,0,1
1Br2Zr2S3-1,62.633714285714284,32.06,91.224,719.3700610612244,28.285714285714285,16,40,116.77551020408164,0.42857142857142855,0.2857142857142857,2.3314285714285714,0.6526085803785248,1.0866666666666667,1.63,0.2737555555555556,0,12.857142857142858,5.617029500382142,5.714285714285714,7,1.346938775510204,1.2069802097939142,3.9356718094456804,3.5708430858854268,0.5423794076192757,2.682964767650128,c211,2,0,0,1
1C2O2Hf3-1,84.49857142857142,12.011,178.49,6628.063504244899,34.857142857142854,6,72,1035.265306122449,0.5714285714285714,0.42857142857142855,2.2685714285714282,0.9037450426092618,1.4266666666666665,2.1399999999999997,0.27602222222222206,1,10.285714285714286,5.495824017620384,4.571428571428571,6,0.816326530612245,0.4197675798698032,10.142735653476112,10.142735653476132,0.5786512952695831,6.954707534073943,p-6m2,-6m2,0,0,0
