uid,total
2As-1,"[[0.6365881837298424, 0.0, 0.0], [0.0, 0.6365881837298424, 0.0], [0.0, 0.0, -0.5228787452803376]]"
2C-1,"[[0.8178957571617955, 0.0, 0.0], [0.0, 0.8178957571617955, 0.0], [0.0, 0.0, -0.8153085691824012]]"
2P-1,"[[0.5615783683009606, 0.0, 0.0], [0.0, 0.5615783683009606, 0.0], [0.0, 0.0, -0.5528419686577808]]"
2Sb-1,"[[0.7178368674869257, 0.0, 0.0], [0.0, 0.7135745377720698, 0.0], [0.0, 0.0, -0.46852108295774486]]"
4As-1,"[[0.803252211430457, 0.0, 0.0], [0.0, 0.874249822778403, 0.0], [0.0, 0.0, -0.4225082001627747]]"
4Bi-1,"[[2.2721457384018313, 0.0, 0.0], [0.0, 1.67881873045889, 0.0], [0.0, 0.0, -0.3098039199714863]]"
4P-1,"[[0.782114147479071, 0.0, 0.0], [0.0, 0.6563857190586878, 0.0], [0.0, 0.0, -0.46470587995722945]]"
1Mo2Ta2O11-1,"[[0.3174364965350991, 0.0, 0.0], [0.0, 0.31722734917642026, 0.0], [0.0, 0.0, -0.30627305107635305]]"
1B2Cl2Hf3-1,"[[1.5254206008204623, 0.0, 0.0], [0.0, 1.5254206008204623, 0.0], [0.0, 0.0, -0.13548891894160814]]"
1B2Cl2Ta3-1,"[[1.6251786429507384, 0.0, 0.0], [0.0, 1.6251786429507384, 0.0], [0.0, 0.0, -0.09745322068600859]]"
1B2Cl2Zr3-1,"[[1.6983528679010742, 0.0, 0.0], [0.0, 1.6983528679010742, 0.0], [0.0, 0.0, -0.11182050608167508]]"
1B2S2Ta3-1,"[[1.1660747173570802, 0.0, 0.0], [0.0, 1.1660747173570802, 0.0], [0.0, 0.0, -0.13548891894160814]]"
1Br2Hf2S3-1,"[[0.46612587041819925, 0.0, 0.0], [0.0, 0.5570257223863831, 0.0], [0.0, 0.0, -0.28232949699773785]]"
1Br2Mn2O3-1,"[[3.116942300748799, 0.0, 0.0], [0.0, 2.977081746833346, 0.0], [0.0, 0.0, 0.30920417967040753]]"
1Br2Se2Pb3-1,"[[0.6924944075030844, 0.0, 0.0], [0.0, 0.7445276734725665, 0.0], [0.0, 0.0, -0.1752235375244543]]"
1Br2Zr2S3-1,"[[0.5950550897593039, 0.0, 0.0], [0.0, 0.5527898501927819, 0.0], [0.0, 0.0, -0.266000713461613]]"
1C2Cl2Hf3-1,"[[1.3539354555715206, 0.0, 0.0], [0.0, 1.3539354555715206, 0.0], [0.0, 0.0, -0.15181088300860132]]"
1C2Cl2Ti3-1,"[[1.483416112701048, 0.0, 0.0], [0.0, 1.483416112701048, 0.0], [0.0, 0.0, -0.16115090926274472]]"
1C2Cl2Zr3-1,"[[1.2207877761658754, 0.0, 0.0], [0.0, 1.2207877761658754, 0.0], [0.0, 0.0, -0.13194363817695845]]"
1C2F2Hf3-1,"[[1.2431373046533367, 0.0, 0.0], [0.0, 1.2431373046533367, 0.0], [0.0, 0.0, -0.2596373105057561]]"
