uid,total
1Ag2Te3-1,"[[1.1453082052251478, 0.3419576334429696, 0.0624208502839841], [0.3419576334429696, 1.9012015188319824, -0.024163965], [0.0624208502839841, -0.024163965, 0.0087343720572901]]"
1AgAlAs2Se6-1,"[[5.876769165066272, 0.064251531993998, -0.001139034], [0.064251531993998, 6.10603643533235, 0.0037689889079123], [-0.001139034, 0.0037689889079123, 0.019175156847958]]"
1AgAlP2S6-1,"[[3.472544999993417, 0.0078547314892715, 0.000774996572448], [0.0078547314892715, 3.462309232968735, -0.000206813], [0.000774996572448, -0.000206813, 0.0250813242743701]]"
1AgAlP2Se6-1,"[[3.498872326503621, 0.0034588211086325, 0.0007883223599185], [0.0034588211086325, 3.5310012071246453, 0.0016908842898702], [0.0007883223599185, 0.0016908842898702, 0.0168105728065441]]"
1AgAlP2Te6-1,"[[5.320347160670404, -0.05300892, -0.002183885], [-0.05300892, 5.378615204050134, 2.3641768662127505e-05], [-0.002183885, 2.3641768662127505e-05, 0.0130958120792322]]"
1AgAuBr2-1,"[[1.284672093958935, 0.7083129003549605, 0.0464730878642434], [0.7083129003549605, 1.4415938177521914, -0.04092138], [0.0464730878642434, -0.04092138, 0.0201656422664077]]"
1AgAuBr4-1,"[[2.37348997918062, -1.218985538, 0.1307955766743075], [-1.218985538, 3.508466656392328, -0.145377077], [0.1307955766743075, -0.145377077, 0.0529594157632366]]"
1AgAuF6-1,"[[2.25939041390887, -1.341758931, 0.001703587700656], [-1.341758931, 1.687121888378538, -0.002211321], [0.001703587700656, -0.002211321, 0.0480842787873053]]"
1AgCuBr2-1,"[[5.024139485841495, 4.012135970999231, -0.069279046], [4.012135970999231, 5.952381599617584, 0.1668355424338401], [-0.069279046, 0.1668355424338401, 0.0383807663977388]]"
1AgCuI2-1,"[[2.0409607857510177, 0.2577399405389504, -0.149086164], [0.2577399405389504, 1.4392027295979894, -0.01631798], [-0.149086164, -0.01631798, 0.0327537946512843]]"
1AgCuSP2Se5-1,"[[8.390948924841547, 1.995640838623833, -0.168074367], [1.995640838623833, 18.312545326592023, 0.1067386445287398], [-0.168074367, 0.1067386445287398, 0.0121669482867854]]"
1AgGa3Cl4O4-1,"[[4.1204787195390855, 0.6022102361290568, 0.0002018882844278], [0.6022102361290568, 4.268987481968893, 0.001273111032956], [0.0002018882844278, 0.001273111032956, 0.0688238048556256]]"
1AgGaCl2Br4-1,"[[6.465179642550931, 1.1187044728991709, 0.2244705982692487], [1.1187044728991709, 1.798165438049787, 0.0144309412911465], [0.2244705982692487, 0.0144309412911465, 0.0243000466410158]]"
1AgGaI2-1,"[[7.386853823156199, -0.157225215, 0.0696198176311963], [-0.157225215, 7.760643141716273, 0.0125508480356307], [0.0696198176311963, 0.0125508480356307, 0.0561436054013089]]"
1AgGaP2S2Se4-1,"[[8.409952344279235, -0.060167811, -0.165032729], [-0.060167811, 4.941166525212414, -0.00213441], [-0.165032729, -0.00213441, 0.0298163957963955]]"
1AgGaP2S6-1,"[[5.165596073813992, -0.002416066, 0.0021336637679545], [-0.002416066, 5.207054189921313, 0.000586957297416], [0.0021336637679545, 0.000586957297416, 0.0222957917137186]]"
1AgGaP2Se6-1,"[[5.321009697594967, 0.0165451930891662, -0.002169125], [0.0165451930891662, 5.356710232902956, -0.001377849], [-0.002169125, -0.001377849, 0.0173629875807332]]"
1AgGeTaCl2S4-1,"[[2.5807821253575014, -0.142865391, -0.01348595], [-0.142865391, 3.549996736869516, -0.049795392], [-0.01348595, -0.049795392, 0.0410529549593862]]"
1AgIHf2Br3S3-1,"[[5.294267236316303, 0.27559490549038, 0.0514227806314631], [0.27559490549038, 4.0381205555509885, -0.000437417], [0.0514227806314631, -0.000437417, 0.0652580649238663]]"
1AgInP2S6-1,"[[4.647868014059037, 0.01998609132745, -0.000204714], [0.01998609132745, 4.607885846587414, 0.0008245115193077], [-0.000204714, 0.0008245115193077, 0.0257874545243203]]"
