uid,fold_id,hint_p_normal_raw,hint_p_large_raw,hint_p_tail_class_raw,hint_p_normal_calibrated,hint_p_large_calibrated,hint_p_tail_class_calibrated,hint_p_tail_binary_raw,hint_p_tail_binary_platt,hint_p_tail_binary_isotonic,hint_p_tail_binary_calibrated,hint_c_pred,hint_z_tail_pred,hint_tail_score_fused,hint_ood_score,hint_ood_flag
2As-1,2,0.8210749280883654,0.10804528224308271,0.07087978966855193,0.8210749280883654,0.10804528224308271,0.07087978966855193,0.030200861965106036,0.0067324632213116445,0.011019283746556474,0.0067324632213116445,0,-4.73250994,0.02525312911804347,-0.056873832,0
2P-1,2,0.8525143323419088,0.08499505567055074,0.062490611987540495,0.8525143323419088,0.08499505567055074,0.062490611987540495,0.038442592697065715,0.007162294077542716,0.01288056206088993,0.007162294077542716,0,-3.989504694,0.02998913350261742,-0.033820934,0
2Sb-1,1,0.34583210330079306,0.31146499980296183,0.3427028968962451,0.34583210330079306,0.31146499980296183,0.3427028968962451,0.40670549202469486,0.13472721140914176,0.09090909090909091,0.13472721140914176,0,-13.18184272,0.16335534117832648,-0.043077898,0
4As-1,1,0.41523246680214565,0.41229843715081155,0.17246909604704264,0.41523246680214565,0.41229843715081155,0.17246909604704264,0.4588548304893842,0.1490400627319785,0.1111111111111111,0.1490400627319785,0.20486437289105192,-7.205365748,0.14153981133749283,-0.077138781,0
4P-1,3,0.7801419636991226,0.12140980577572241,0.09844823052515501,0.7801419636991226,0.12140980577572241,0.09844823052515501,0.013501306584507568,0.002271971820013877,0.009603841536614645,0.002271971820013877,0.03012553705303983,-4.092158818,0.03000127508573633,-0.05773922,0
1Mo2Ta2O11-1,2,0.263515442570965,0.6300562698467773,0.1064282875822578,0.263515442570965,0.6300562698467773,0.1064282875822578,0.041057259790925345,0.009596171388477603,0.011019283746556474,0.009596171388477603,0.8304070509580155,-0.958199326,0.1690761589049463,-0.03505677,0
1Br2Hf2S3-1,5,0.4019584701576063,0.38589080513704976,0.2121507247053441,0.4019584701576063,0.38589080513704976,0.2121507247053441,0.07535547153073262,0.0176935253249411,0.011019283746556474,0.0176935253249411,0.6405214696789793,-1.46589552,0.14237134576791918,-0.104087318,0
1Br2Se2Pb3-1,1,0.18804543668433282,0.4778614671400674,0.33409309617559985,0.18804543668433282,0.4778614671400674,0.33409309617559985,0.5295198815541597,0.2047064581119227,0.15,0.2047064581119227,0.9038488705671031,-0.388792115,0.3951972954284456,-0.037727375,0
1Br2Zr2S3-1,4,0.3633855893015655,0.5079340844657871,0.1286803262326474,0.3633855893015655,0.5079340844657871,0.1286803262326474,0.007789786605587659,0.0017837155881532517,0.012471655328798186,0.0017837155881532517,0.7489810142882913,-1.127039792,0.14982629935873024,-0.114848994,0
1C2O2Hf3-1,4,0.10875958007591875,0.7908144629499088,0.10042595697417246,0.10875958007591875,0.7908144629499088,0.10042595697417246,0.014568384905194524,0.00346670292553142,0.009603841536614645,0.00346670292553142,0.9166928395575822,-0.406487522,0.22322286151946108,-0.012052997,0
1C2O2Zr3-1,2,0.08058925889191206,0.8130952881315011,0.10631545297658693,0.08058925889191206,0.8130952881315011,0.10631545297658693,0.26203829343630036,0.07400974956366159,0.038834951456310676,0.07400974956366159,0.8641530994422606,-0.687489242,0.2483676424580462,-0.03136755,0
1Cl2Ge2O3-1,1,0.44679150295737347,0.3564946430571864,0.19671385398544003,0.44679150295737347,0.3564946430571864,0.19671385398544003,0.2083065275119044,0.05276513646999532,0.038834951456310676,0.05276513646999532,0.6726676400966702,-1.430214338,0.18281323502264074,-0.097253771,0
1Cl2V2O3-1,2,0.7677570810977047,0.19845454207363294,0.0337883768286624,0.7677570810977047,0.19845454207363294,0.0337883768286624,0.026272026566717545,0.005826785158317219,0.01015228426395939,0.005826785158317219,0.5040759737408973,-1.790883184,0.08407699756213212,-0.075756369,0
1N2O2Hf3-1,2,0.06720153372487196,0.8460716988140832,0.08672676746104489,0.06720153372487196,0.8460716988140832,0.08672676746104489,0.23514962544356868,0.057353923844757085,0.038834951456310676,0.057353923844757085,0.9346702183880171,-0.539590148,0.2542521357094658,-0.016099171,0
1N2O2Zr3-1,1,0.24100881929768977,0.38347429564414054,0.3755168850581697,0.24100881929768977,0.38347429564414054,0.3755168850581697,0.5156944225468462,0.17638287625781865,0.15,0.17638287625781865,0.8919496457079957,-0.351641832,0.4023727180982495,-0.019191929,0
